,Unnamed: 0,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE
0,0,22200005,1610612737,Atlanta,Hawks,ATL,hawks,240:00,110.8,110.4,101.3,100.9,9.5,9.4,0.667,3.33,21.5,0.128,0.696,0.437,8.526,8.5,0.539,0.582,1.0,0.201,105.58,106.0,88.33,106.0,0.572
1,1,22200005,1610612745,Houston,Rockets,HOU,rockets,240:00,101.3,100.9,110.8,110.4,-9.5,-9.4,0.595,1.56,17.2,0.304,0.872,0.563,15.152,15.1,0.474,0.511,1.0,0.199,105.58,106.0,88.33,106.0,0.428
2,0,42200405,1610612743,Denver,Nuggets,DEN,nuggets,240:00,95.8,97.9,89.0,93.7,6.8,4.2,0.553,1.4,16.1,0.34,0.75,0.57,15.287,15.6,0.482,0.499,1.0,0.2,99.08,95.5,79.58,96.0,0.59
3,1,42200405,1610612748,Miami,Heat,MIA,heat,240:00,89.0,93.7,95.8,97.9,-6.8,-4.2,0.545,2.25,13.9,0.25,0.66,0.43,7.997,8.4,0.391,0.432,1.0,0.198,99.08,95.5,79.58,95.0,0.41
4,0,42200404,1610612748,Miami,Heat,MIA,heat,240:00,101.3,104.4,118.4,118.7,-17.1,-14.3,0.657,1.53,18.4,0.267,0.825,0.529,15.991,16.5,0.5,0.547,1.0,0.198,92.52,91.0,75.83,91.0,0.406
5,1,42200404,1610612743,Denver,Nuggets,DEN,nuggets,240:00,118.4,118.7,101.3,104.4,17.1,14.3,0.667,3.25,21.3,0.175,0.733,0.471,8.768,8.8,0.582,0.612,1.0,0.195,92.52,91.0,75.83,91.0,0.594
6,0,42200403,1610612748,Miami,Heat,MIA,heat,240:00,99.6,102.2,117.4,117.2,-17.7,-15.0,0.588,5.0,16.1,0.237,0.585,0.38,4.239,4.3,0.429,0.468,1.0,0.201,93.62,92.5,77.08,92.0,0.346
7,1,42200403,1610612743,Denver,Nuggets,DEN,nuggets,240:00,117.4,117.2,99.6,102.2,17.7,15.0,0.683,2.0,20.9,0.415,0.763,0.62,15.073,15.1,0.544,0.593,1.0,0.2,93.62,92.5,77.08,93.0,0.654
8,0,42200402,1610612743,Denver,Nuggets,DEN,nuggets,240:00,120.4,124.1,123.6,129.1,-3.2,-4.9,0.59,1.64,18.9,0.368,0.756,0.57,15.611,16.1,0.593,0.638,1.0,0.197,89.74,86.5,72.08,87.0,0.501
9,1,42200402,1610612748,Miami,Heat,MIA,heat,240:00,123.6,129.1,120.4,124.1,3.2,4.9,0.737,2.55,22.3,0.244,0.632,0.43,12.249,12.8,0.596,0.639,1.0,0.194,89.74,86.5,72.08,86.0,0.499
