,H_TEAM,H_TEAM_WIN,H_SSN_W,H_LAST10_W,H_LAST5_W,H_SEASON_W_OPP,H_LAST10_W_OPP,H_LAST5_W_OPP,H_AVG_PTS,H_AVG_FG_PCT,H_AVG_FGA,H_AVG_FG3M,H_AVG_FTM,H_AVG_DREB,H_AVG_OREB,H_AVG_REB,H_AVG_STL,A_TEAM,A_SSN_W,A_LAST10_W,A_LAST5_W,A_SSN_W_OPP,A_LAST10_W_OPP,A_LAST5_W_OPP,A_AVG_PTS,A_AVG_FG_PCT,A_AVG_FGA,A_AVG_FG3M,A_AVG_FTM,A_AVG_DREB,A_AVG_OREB,A_AVG_REB,A_AVG_STL
0,MIA,L,63,5,2,2,2,2,110.85,0.4617,82.2,12.9,22.25,33.65,7.7,41.35,7.05,LAL,72,7,3,5,5,3,113.15,0.48995,83.75,12.15,19.1,33.5,10.5,44.0,8.2
1,LAL,L,72,8,4,5,5,4,113.85,0.4913000000000001,84.55,12.2,18.75,33.65,10.65,44.3,8.0,MIA,62,5,2,1,1,1,109.9,0.4566,82.4,12.7,22.2,34.05,7.95,42.0,7.0
2,MIA,L,62,6,2,1,1,1,110.85,0.45965,82.95,12.85,22.0,34.15,7.9,42.05,7.3,LAL,71,8,4,4,4,4,114.95,0.4963,84.65,12.2,18.95,32.95,10.85,43.8,8.15
3,MIA,W,61,5,2,0,0,0,110.8,0.45644999999999997,83.85,12.9,21.6,34.75,8.4,43.15,7.45,LAL,71,9,4,4,4,4,115.3,0.4958,85.7,12.15,18.55,32.8,11.05,43.85,8.4
4,LAL,W,70,9,4,3,3,3,113.95,0.4932999999999999,84.7,11.45,19.3,33.2,10.85,44.05,8.65,MIA,61,6,2,0,0,0,110.7,0.45549999999999996,84.5,12.9,21.0,34.9,8.25,43.15,7.65
5,LAL,W,69,8,4,2,2,2,112.45,0.4883,84.9,10.95,19.0,32.75,10.9,43.65,8.65,MIA,61,7,3,0,0,0,111.6,0.45525000000000004,84.2,13.4,21.7,35.0,8.3,43.3,7.75
6,MIA,W,60,7,3,4,4,3,110.95,0.4492,84.05,13.5,22.05,34.6,8.8,43.4,7.85,BOS,63,4,2,4,4,2,110.1,0.45735000000000003,85.85,12.4,19.3,37.45,9.05,46.5,6.95
7,LAL,W,68,8,4,6,6,4,112.4,0.48605,85.15,10.95,19.05,32.55,10.85,43.4,8.95,DEN,60,5,2,2,2,1,107.7,0.47245,82.6,12.7,17.1,31.7,9.25,40.95,6.25
8,BOS,W,62,4,2,3,3,1,111.5,0.46315,85.6,12.8,19.5,37.45,8.7,46.15,7.1,MIA,60,8,4,4,4,4,110.7,0.4478000000000001,84.1,13.85,21.65,34.65,8.9,43.55,8.15
9,DEN,L,60,5,3,2,2,1,108.35,0.47634999999999994,82.6,12.85,17.0,31.6,9.45,41.05,6.35,LAL,67,8,4,5,5,4,111.3,0.48,85.25,10.95,18.85,32.7,10.65,43.35,8.9
10,MIA,W,59,8,3,3,3,3,111.35,0.45414999999999994,83.15,14.0,22.05,34.75,8.7,43.45,8.05,BOS,62,5,2,3,3,2,111.35,0.46109999999999995,85.75,12.6,19.75,37.3,8.8,46.1,7.3
11,DEN,W,59,5,3,1,1,1,109.35,0.4725499999999999,84.35,12.75,17.0,31.85,9.6,41.45,6.45,LAL,67,9,5,5,5,4,111.15,0.47359999999999997,85.2,11.2,19.55,33.35,11.0,44.35,8.65
12,LAL,W,66,9,5,4,4,4,112.05,0.476,85.5,11.2,19.75,33.7,10.8,44.5,8.8,DEN,59,6,3,1,1,1,109.95,0.47509999999999997,84.85,13.05,16.4,32.3,9.8,42.1,6.1
13,MIA,L,59,9,4,3,3,3,111.55,0.45620000000000005,83.1,14.15,21.8,35.15,8.35,43.5,8.1,BOS,61,5,2,2,2,2,111.9,0.46425,85.35,13.05,19.75,36.8,8.6,45.4,7.35
14,LAL,W,65,8,4,3,3,3,111.7,0.47795000000000004,84.95,11.1,19.8,34.55,10.7,45.25,8.45,DEN,59,7,3,1,1,1,110.85,0.47784999999999994,85.25,13.3,16.15,32.5,10.05,42.55,6.25
15,BOS,L,61,6,2,2,2,2,112.45,0.4596,86.3,13.1,20.15,36.75,9.0,45.75,7.5,MIA,58,9,4,2,2,2,111.2,0.45470000000000005,82.95,14.0,22.0,35.6,8.1,43.7,7.75
16,LAC,L,60,6,2,5,5,2,116.7,0.48014999999999997,85.95,13.25,20.85,36.0,8.85,44.85,7.2,DEN,58,6,3,5,5,3,111.7,0.47729999999999995,85.75,13.0,16.9,32.25,9.95,42.2,6.55
17,BOS,L,61,7,2,2,2,2,112.35,0.46075,86.3,12.95,20.0,37.1,9.2,46.3,7.5,MIA,57,8,4,1,1,1,110.55,0.4547,82.1,13.9,22.25,35.35,8.0,43.35,7.75
18,DEN,W,57,5,2,4,4,2,111.4,0.47215000000000007,86.5,12.8,16.9,31.75,10.3,42.05,6.5,LAC,60,6,3,5,5,3,116.9,0.4776000000000001,86.65,13.45,20.75,36.55,8.8,45.35,6.85
19,LAL,W,64,7,4,4,4,3,110.95,0.4763,85.1,10.45,19.8,33.7,10.95,44.65,8.7,HOU,55,4,2,3,3,2,112.75,0.43775,87.0,17.65,18.9,33.8,6.0,39.8,10.0
20,LAC,L,60,7,4,5,5,4,116.9,0.4801,86.4,13.4,20.6,37.1,8.55,45.65,6.9,DEN,56,4,2,3,3,1,111.35,0.4750500000000001,86.25,12.8,16.65,31.85,10.3,42.15,6.65
21,TOR,L,64,7,3,4,4,3,110.95,0.44384999999999997,86.6,15.05,18.9,37.65,8.45,46.1,8.0,BOS,60,7,2,6,6,2,113.6,0.4647999999999999,86.3,13.15,20.35,37.45,9.05,46.5,7.35
22,HOU,L,55,5,2,3,3,3,113.7,0.43755,88.2,18.05,18.45,34.5,6.4,40.9,10.05,LAL,63,7,4,3,3,2,110.55,0.47485,85.05,10.75,19.4,33.6,10.75,44.35,8.6
