,H_TEAM,H_TEAM_WIN,H_SSN_W,H_LAST10_W,H_LAST5_W,H_SEASON_W_OPP,H_LAST10_W_OPP,H_LAST5_W_OPP,H_AVG_PTS,A_TEAM,A_SSN_W,A_LAST10_W,A_LAST5_W,A_SSN_W_OPP,A_LAST10_W_OPP,A_LAST5_W_OPP,A_AVG_PTS
0,DEN,W,71,9,4,5,5,4,114.4,MIA,62,4,2,1,1,1,103.4
1,MIA,L,62,5,2,1,1,1,106.2,DEN,70,8,4,4,4,4,116.0
2,MIA,L,62,6,2,1,1,1,106.4,DEN,69,7,4,3,3,3,116.5
3,DEN,L,69,8,5,3,3,3,115.4,MIA,61,5,1,0,0,0,105.6
4,DEN,W,68,8,5,2,2,2,117.5,MIA,61,6,2,0,0,0,107.2
5,BOS,L,70,5,3,5,5,3,107.8,MIA,60,6,2,5,5,2,107.4
6,MIA,L,60,6,3,5,5,3,107.6,BOS,69,5,2,4,4,2,108.8
7,BOS,W,68,5,2,3,3,1,109.9,MIA,60,7,4,5,5,4,108.7
8,MIA,L,60,8,4,5,5,5,111.6,BOS,67,4,2,2,2,0,109.8
9,LAL,L,53,5,1,2,2,1,113.8,DEN,67,8,5,5,5,4,117.4
10,MIA,W,59,8,4,4,4,4,110.7,BOS,67,5,2,2,2,1,112.4
11,LAL,L,53,5,2,2,2,2,112.9,DEN,66,7,4,4,4,3,116.3
12,BOS,L,67,5,2,2,2,2,113.6,MIA,58,8,4,3,3,3,111.7
13,DEN,W,65,7,3,3,3,3,117.5,LAL,53,6,3,2,2,2,114.3
14,BOS,L,67,6,3,2,2,2,114.9,MIA,57,7,3,2,2,2,111.6
15,DEN,W,64,7,3,2,2,2,116.5,LAL,53,7,3,2,2,2,112.8
16,BOS,W,66,5,3,6,6,3,115.9,PHI,65,7,2,4,4,2,104.0
17,LAL,W,52,6,3,7,7,3,109.9,GSW,53,6,2,3,3,2,114.0
18,MIA,W,56,7,3,4,4,3,115.0,NYK,56,6,2,5,5,2,100.9
19,PHI,L,65,8,3,4,4,3,108.8,BOS,65,5,2,5,5,2,118.3
20,PHX,L,52,6,2,4,4,2,115.6,DEN,63,7,3,6,6,3,114.9
21,GSW,W,52,5,2,2,2,1,112.5,LAL,52,7,4,7,7,4,112.1
22,NYK,W,55,5,2,4,4,2,103.3,MIA,56,8,4,4,4,3,114.9
23,BOS,L,65,6,3,5,5,2,119.2,PHI,64,8,3,3,3,3,110.9
24,DEN,W,62,7,3,5,5,2,114.0,PHX,52,6,3,4,4,3,116.8
25,LAL,W,51,7,3,6,6,4,112.5,GSW,52,5,2,2,2,1,114.7
26,MIA,W,55,7,4,3,3,3,114.5,NYK,55,5,3,4,4,2,103.7
27,PHI,W,63,7,3,2,2,2,109.4,BOS,65,7,3,5,5,3,119.7
28,PHX,W,51,5,3,3,3,3,114.6,DEN,62,7,3,5,5,2,113.0
29,LAL,W,50,7,3,5,5,4,112.6,GSW,52,6,3,2,2,1,120.7
30,MIA,W,54,7,4,2,2,2,116.3,NYK,55,6,4,4,4,3,108.9
31,PHX,W,50,5,3,2,2,2,114.4,DEN,62,7,4,5,5,3,113.1
32,PHI,L,63,8,4,2,2,2,109.5,BOS,64,7,3,4,4,3,120.4
33,GSW,W,51,6,3,1,1,1,119.9,LAL,50,8,4,5,5,4,114.7
34,BOS,W,63,7,2,3,3,3,118.0,PHI,63,8,5,2,2,2,111.2
35,NYK,W,54,6,3,3,3,3,109.6,MIA,54,7,4,2,2,2,116.6
36,GSW,L,51,7,4,1,1,1,122.3,LAL,49,7,3,4,4,4,114.8
37,DEN,W,61,6,4,4,4,3,113.7,PHX,50,6,4,2,2,2,117.2
38,BOS,L,63,7,3,3,3,3,116.6,PHI,62,8,5,1,1,1,111.0
39,SAC,L,55,4,2,4,4,2,112.8,GSW,50,6,3,6,6,3,121.3
