SEASON_ID,TEAM_ID_A,TEAM_ABBREVIATION_A,TEAM_NAME_A,GAME_ID,GAME_DATE,MATCHUP,WL_A,MIN_A,FGM_A,FGA_A,FG_PCT_A,FG3M_A,FG3A_A,FG3_PCT_A,FTM_A,FTA_A,FT_PCT_A,OREB_A,DREB_A,REB_A,AST_A,STL_A,BLK_A,TOV_A,PF_A,PTS_A,PLUS_MINUS_A,TEAM_ID_B,TEAM_ABBREVIATION_B,TEAM_NAME_B,WL_B,MIN_B,FGM_B,FGA_B,FG_PCT_B,FG3M_B,FG3A_B,FG3_PCT_B,FTM_B,FTA_B,FT_PCT_B,OREB_B,DREB_B,REB_B,AST_B,STL_B,BLK_B,TOV_B,PF_B,PTS_B,PLUS_MINUS_B
21997.0,1611661319.0,UTA,Utah Starzz,1029700003,1997-06-21,UTA vs. SAC,L,0.0,23.0,67.0,0.343,2.0,12.0,0.167,13.0,19.0,0.684,16.0,19.0,35.0,11.0,7.0,5.0,0.0,29.0,60.0,-10.0,1611661318.0,SAC,Sacramento Monarchs,W,0.0,24.0,64.0,0.375,3.0,11.0,0.273,22.0,32.0,0.688,19.0,21.0,40.0,10.0,12.0,3.0,0.0,26.0,70.0,10.0
21997.0,1611661315.0,CLE,Cleveland Rockers,1029700002,1997-06-21,CLE vs. HOU,L,0.0,23.0,60.0,0.383,2.0,7.0,0.286,8.0,14.0,0.571,13.0,12.0,25.0,13.0,8.0,7.0,0.0,20.0,56.0,-20.0,1611661316.0,HOU,Houston Comets,W,0.0,30.0,54.0,0.556,3.0,11.0,0.273,13.0,15.0,0.867,6.0,21.0,27.0,14.0,14.0,6.0,0.0,20.0,76.0,20.0
21997.0,1611661320.0,LAS,Los Angeles Sparks,1029700001,1997-06-21,LAS vs. NYL,L,0.0,21.0,68.0,0.309,1.0,11.0,0.091,14.0,19.0,0.737,14.0,25.0,39.0,15.0,9.0,3.0,0.0,22.0,57.0,-10.0,1611661313.0,NYL,New York Liberty,W,0.0,26.0,60.0,0.433,2.0,6.0,0.333,13.0,25.0,0.52,10.0,26.0,36.0,21.0,14.0,5.0,0.0,24.0,67.0,10.0
21997.0,1611661317.0,PHO,Phoenix Mercury,1029700004,1997-06-22,PHO vs. CHA,W,0.0,28.0,67.0,0.418,8.0,19.0,0.421,12.0,19.0,0.632,10.0,33.0,43.0,23.0,10.0,3.0,0.0,16.0,76.0,17.0,1611661314.0,CHA,Charlotte Sting,L,0.0,21.0,65.0,0.323,4.0,14.0,0.286,13.0,15.0,0.867,9.0,23.0,32.0,14.0,12.0,1.0,0.0,19.0,59.0,-17.0
21997.0,1611661318.0,SAC,Sacramento Monarchs,1029700006,1997-06-23,SAC vs. NYL,L,0.0,21.0,61.0,0.344,6.0,16.0,0.375,14.0,18.0,0.778,13.0,18.0,31.0,11.0,13.0,2.0,0.0,21.0,62.0,-11.0,1611661313.0,NYL,New York Liberty,W,0.0,27.0,56.0,0.482,6.0,11.0,0.545,13.0,19.0,0.684,9.0,20.0,29.0,17.0,14.0,6.0,0.0,15.0,73.0,11.0
21997.0,1611661319.0,UTA,Utah Starzz,1029700005,1997-06-23,UTA vs. LAS,W,0.0,28.0,68.0,0.412,4.0,12.0,0.333,42.0,56.0,0.75,9.0,29.0,38.0,20.0,8.0,7.0,0.0,24.0,102.0,13.0,1611661320.0,LAS,Los Angeles Sparks,L,0.0,33.0,70.0,0.471,5.0,16.0,0.313,18.0,24.0,0.75,7.0,31.0,38.0,19.0,2.0,2.0,0.0,36.0,89.0,-13.0
21997.0,1611661316.0,HOU,Houston Comets,1029700007,1997-06-24,HOU vs. PHO,W,0.0,23.0,57.0,0.404,2.0,9.0,0.222,24.0,28.0,0.857,13.0,26.0,39.0,10.0,10.0,5.0,0.0,27.0,70.0,15.0,1611661317.0,PHO,Phoenix Mercury,L,0.0,19.0,53.0,0.358,1.0,10.0,0.1,16.0,26.0,0.615,8.0,15.0,23.0,12.0,11.0,2.0,0.0,26.0,55.0,-15.0
21997.0,1611661320.0,LAS,Los Angeles Sparks,1029700008,1997-06-25,LAS vs. CHA,W,0.0,29.0,62.0,0.468,2.0,4.0,0.5,14.0,27.0,0.519,7.0,27.0,34.0,20.0,16.0,3.0,0.0,12.0,74.0,20.0,1611661314.0,CHA,Charlotte Sting,L,0.0,22.0,64.0,0.344,4.0,15.0,0.267,6.0,7.0,0.857,13.0,22.0,35.0,10.0,6.0,3.0,0.0,22.0,54.0,-20.0
21997.0,1611661318.0,SAC,Sacramento Monarchs,1029700010,1997-06-26,SAC vs. CHA,W,0.0,27.0,59.0,0.458,6.0,13.0,0.462,18.0,21.0,0.857,13.0,21.0,34.0,14.0,8.0,0.0,0.0,15.0,78.0,8.0,1611661314.0,CHA,Charlotte Sting,L,0.0,31.0,57.0,0.544,1.0,3.0,0.333,7.0,11.0,0.636,6.0,15.0,21.0,17.0,10.0,4.0,0.0,21.0,70.0,-8.0
21997.0,1611661315.0,CLE,Cleveland Rockers,1029700009,1997-06-26,CLE vs. UTA,W,0.0,25.0,60.0,0.417,2.0,7.0,0.286,22.0,30.0,0.733,11.0,30.0,41.0,18.0,10.0,4.0,0.0,11.0,74.0,11.0,1611661319.0,UTA,Utah Starzz,L,0.0,27.0,66.0,0.409,3.0,9.0,0.333,6.0,10.0,0.6,7.0,25.0,32.0,18.0,13.0,5.0,0.0,22.0,63.0,-11.0
