,H_TEAM,H_TEAM_WIN,H_SSN_W,H_LAST10_W,H_LAST5_W,H_SEASON_W_OPP,H_LAST10_W_OPP,H_LAST5_W_OPP,H_AVG_PTS,H_AVG_FG_PCT,H_AVG_FGA,H_AVG_FG3M,H_AVG_FTM,H_AVG_DREB,H_AVG_OREB,H_AVG_REB,H_AVG_STL,A_TEAM,A_SSN_W,A_LAST10_W,A_LAST5_W,A_SSN_W_OPP,A_LAST10_W_OPP,A_LAST5_W_OPP,A_AVG_PTS,A_AVG_FG_PCT,A_AVG_FGA,A_AVG_FG3M,A_AVG_FTM,A_AVG_DREB,A_AVG_OREB,A_AVG_REB,A_AVG_STL
0,MIL,W,61,7,3,3,3,3,109.55,0.4626500000000001,91.15,11.25,14.0,35.0,12.4,47.4,7.55,PHX,65,5,2,4,4,2,110.05,0.48390000000000005,84.95,11.55,16.3,35.1,7.65,42.75,6.2
1,PHX,L,65,6,3,4,4,3,109.05,0.47955000000000003,84.9,11.35,16.3,35.3,8.05,43.35,6.1,MIL,60,6,3,2,2,2,110.0,0.4583500000000001,91.5,11.65,14.45,35.7,12.9,48.6,7.6
2,MIL,W,59,6,3,1,1,1,110.0,0.46015000000000006,91.45,11.55,14.25,36.6,12.8,49.4,7.6,PHX,65,7,3,4,4,4,110.05,0.47939999999999994,86.2,11.65,15.7,35.45,8.3,43.75,6.3
3,MIL,W,58,6,2,0,0,0,109.6,0.4573500000000001,91.45,11.45,14.45,36.45,12.65,49.1,7.85,PHX,65,8,4,4,4,4,112.05,0.4829500000000001,86.75,11.95,16.2,35.95,8.35,44.3,6.65
4,PHX,W,64,8,3,3,3,3,112.05,0.48180000000000006,86.75,11.6,16.75,35.95,8.3,44.25,6.5,MIL,58,6,3,0,0,0,110.3,0.4615,91.1,11.65,14.55,37.2,12.0,49.2,7.65
5,PHX,W,63,8,3,2,2,2,111.95,0.48445,86.3,11.85,16.4,35.6,8.3,43.9,6.25,MIL,58,7,4,0,0,0,112.15,0.46745000000000003,91.4,11.4,15.25,37.35,12.05,49.4,7.7
6,ATL,L,53,5,2,3,3,2,108.3,0.45875000000000005,87.0,11.5,17.1,34.75,9.05,43.8,6.65,MIL,57,7,3,5,5,3,111.95,0.4656999999999999,92.0,10.95,15.3,37.95,12.3,50.25,7.65
7,MIL,W,56,6,3,4,4,2,112.05,0.46545000000000003,91.95,11.15,15.3,37.6,12.0,49.6,7.4,ATL,53,5,3,3,3,3,108.95,0.45990000000000003,87.3,11.25,17.5,35.5,9.05,44.55,6.55
8,LAC,L,57,6,2,4,4,2,112.2,0.4779,83.85,13.6,18.6,32.3,9.15,41.45,7.05,PHX,62,8,3,4,4,3,110.95,0.48295000000000005,85.25,11.55,17.1,35.2,7.95,43.15,6.4
9,ATL,W,52,5,2,2,2,2,109.75,0.46014999999999995,87.75,11.35,17.7,34.95,9.15,44.1,6.4,MIL,56,6,4,4,4,3,114.7,0.47265000000000007,92.5,11.7,15.6,38.05,12.05,50.1,7.5
10,PHX,L,62,9,4,4,4,4,112.25,0.4837000000000001,85.65,12.0,17.45,35.4,7.95,43.35,6.35,LAC,56,5,2,3,3,1,112.05,0.47714999999999996,83.4,14.15,18.5,32.3,9.35,41.65,6.95
11,ATL,L,52,6,3,2,2,2,111.4,0.46849999999999997,87.75,11.25,18.05,35.5,9.15,44.65,6.4,MIL,55,6,3,3,3,3,115.8,0.4740500000000001,92.55,12.05,16.05,38.05,11.8,49.85,7.3
12,LAC,L,56,6,3,3,3,2,113.8,0.4859,83.15,14.45,18.75,32.5,9.05,41.55,7.25,PHX,61,9,4,3,3,3,113.2,0.4866,85.3,12.4,17.8,34.3,7.6,41.9,6.6
13,MIL,W,54,6,3,2,2,2,115.75,0.47045000000000003,92.65,12.0,16.65,38.5,11.75,50.25,6.95,ATL,52,7,4,2,2,2,113.0,0.47395,87.85,11.8,18.1,36.35,9.05,45.4,6.3
14,LAC,W,55,6,3,2,2,2,113.5,0.48484999999999995,83.35,14.45,18.45,32.25,8.9,41.15,7.1,PHX,61,9,5,3,3,3,115.3,0.49335000000000007,86.05,12.5,17.8,34.5,7.65,42.15,6.85
15,MIL,L,54,7,4,2,2,2,115.95,0.47190000000000004,92.45,12.35,16.4,38.7,11.55,50.25,7.1,ATL,51,7,3,1,1,1,112.6,0.4741999999999999,86.8,12.1,18.4,36.3,8.75,45.05,6.6
16,PHX,W,60,8,5,2,2,2,116.25,0.49515000000000003,86.15,12.8,18.05,34.45,7.7,42.15,7.05,LAC,55,6,4,2,2,2,114.25,0.48895,83.2,14.45,18.7,32.6,9.0,41.6,7.15
17,PHX,W,59,8,5,1,1,1,116.3,0.4948499999999999,86.1,12.7,18.3,34.45,7.75,42.2,7.15,LAC,55,7,4,2,2,2,113.8,0.49219999999999997,82.55,14.2,18.6,33.05,8.7,41.75,7.2
18,PHI,L,58,6,3,5,5,3,115.9,0.4922999999999999,86.65,11.8,19.0,34.6,9.15,43.75,8.35,ATL,50,6,2,4,4,2,112.65,0.47395,86.85,12.25,18.3,36.1,9.05,45.15,6.3
19,BKN,L,57,6,2,4,4,2,114.25,0.4855999999999999,86.2,14.2,16.95,35.45,7.95,43.4,6.9,MIL,53,7,3,5,5,3,115.6,0.47330000000000005,92.05,12.05,16.45,39.35,11.05,50.4,6.9
20,ATL,L,50,7,3,4,4,3,111.85,0.46995,86.3,12.05,18.8,35.65,9.5,45.15,6.15,PHI,57,6,2,4,4,2,117.0,0.4951,87.05,11.7,19.3,34.35,9.35,43.7,8.4
21,LAC,W,54,7,3,4,4,3,112.45,0.48564999999999997,82.45,13.9,18.75,33.35,8.7,42.05,6.95,UTA,61,6,2,5,5,2,115.2,0.4726000000000001,85.15,16.45,18.25,35.35,9.75,45.1,6.2
22,MIL,W,52,6,2,4,4,2,117.2,0.47709999999999997,92.6,12.5,16.4,39.05,10.7,49.75,6.9,BKN,57,7,3,4,4,3,116.3,0.48979999999999996,86.6,14.35,17.75,36.05,7.9,43.95,6.5
23,UTA,L,61,7,3,5,5,2,117.35,0.4821000000000001,85.45,16.65,18.3,35.85,9.8,45.65,6.05,LAC,53,6,3,3,3,3,111.55,0.48564999999999997,82.45,13.7,18.05,33.35,8.55,41.9,6.8
24,PHI,L,57,7,3,4,4,3,118.05,0.4986999999999999,87.75,11.85,18.9,34.25,9.55,43.8,8.65,ATL,49,7,3,3,3,2,110.7,0.4664,86.3,11.8,18.5,35.95,9.45,45.4,6.15
25,BKN,W,56,7,3,3,3,2,116.4,0.48919999999999997,86.9,14.45,17.55,36.05,8.15,44.2,6.75,MIL,52,7,3,4,4,3,117.5,0.47765,93.1,12.3,16.3,39.45,10.95,50.4,7.25
26,ATL,W,48,7,3,2,2,1,111.1,0.47085,85.65,11.85,18.55,36.05,9.1,45.15,6.2,PHI,57,8,3,4,4,4,119.1,0.5043,87.8,12.0,18.8,33.45,9.65,43.1,9.65
27,LAC,W,52,5,3,2,2,2,110.8,0.48224999999999996,83.1,13.65,17.35,33.2,8.7,41.9,6.65,UTA,61,8,4,5,5,3,117.35,0.4801,86.35,16.6,17.95,35.95,10.2,46.15,6.3
28,MIL,W,51,7,3,3,3,3,117.35,0.47955000000000003,92.75,11.9,16.55,39.4,10.95,50.35,7.05,BKN,56,8,4,3,3,2,118.0,0.49395,87.1,14.6,18.0,35.7,8.55,44.25,6.7
29,DEN,L,53,4,2,2,2,2,113.35,0.46435000000000004,89.95,13.2,16.85,32.95,11.0,43.95,7.4,PHX,58,8,5,4,4,3,115.5,0.49260000000000004,86.4,12.95,17.35,33.9,8.15,42.05,7.3
30,LAC,W,51,4,2,1,1,1,109.65,0.47424999999999995,83.5,13.3,17.65,33.85,8.9,42.75,6.75,UTA,61,8,5,5,5,4,116.85,0.47874999999999995,86.25,16.6,17.75,36.3,10.2,46.5,6.4
31,ATL,L,48,8,4,2,2,2,111.45,0.47395000000000004,85.55,12.3,18.05,36.3,8.95,45.25,6.5,PHI,56,7,3,3,3,3,117.45,0.4941000000000001,87.95,11.85,18.8,33.7,9.65,43.35,9.8
32,DEN,L,53,5,2,2,2,2,114.25,0.46775,89.9,13.05,17.3,33.55,10.5,44.05,7.6,PHX,57,8,5,3,3,3,115.6,0.4931500000000001,86.5,13.05,17.15,33.8,8.2,42.0,7.05
33,MIL,W,50,7,3,2,2,2,119.65,0.48645000000000005,93.0,12.5,16.75,38.9,11.4,50.3,7.4,BKN,56,9,4,3,3,3,119.3,0.49734999999999996,86.7,14.75,18.85,35.6,8.5,44.1,6.9
34,UTA,W,60,7,5,4,4,4,116.6,0.4738999999999999,86.95,16.45,17.75,37.2,10.55,47.75,6.55,LAC,51,4,3,1,1,1,109.95,0.47329999999999994,83.45,13.45,18.0,34.0,9.05,43.05,6.65
35,PHX,W,56,8,4,2,2,2,115.4,0.4931000000000001,86.3,12.75,17.45,33.0,8.55,41.55,7.15,DEN,53,6,3,2,2,2,115.8,0.4774999999999999,89.6,13.15,17.35,33.55,10.0,43.55,7.8
36,PHI,W,55,6,3,2,2,2,117.4,0.4929,88.15,11.85,18.75,33.45,9.7,43.15,9.65,ATL,48,9,4,2,2,2,112.7,0.4750500000000001,86.5,12.35,18.15,36.1,8.95,45.05,6.9
37,UTA,W,59,7,4,3,3,3,116.55,0.4821999999999999,86.15,16.35,17.2,37.5,10.05,47.55,6.55,LAC,51,5,4,1,1,1,110.15,0.47709999999999997,83.7,13.2,17.55,34.1,9.1,43.2,6.65
38,BKN,W,55,9,4,2,2,2,118.2,0.4911,86.55,14.35,19.45,35.85,8.65,44.5,6.65,MIL,50,7,4,2,2,2,121.55,0.49224999999999997,92.85,13.1,17.25,39.2,11.15,50.35,7.6
39,PHX,W,55,7,3,1,1,1,113.6,0.48650000000000004,86.45,12.4,17.0,32.55,8.7,41.25,7.25,DEN,53,7,4,2,2,2,115.4,0.47345,89.4,13.1,17.9,33.55,9.75,43.3,7.75
40,PHI,L,55,7,4,2,2,2,116.85,0.49110000000000004,88.05,12.0,18.45,33.3,10.0,43.3,9.4,ATL,47,8,4,1,1,1,111.9,0.4702,86.9,11.8,18.4,36.85,9.7,46.55,6.7
41,LAC,W,50,5,3,4,4,3,110.05,0.4774,84.05,13.25,17.0,34.75,9.1,43.85,6.4,DAL,47,5,2,5,5,2,112.75,0.47145000000000004,87.35,14.3,16.15,31.6,10.1,41.7,6.65
42,BKN,W,54,9,4,1,1,1,119.15,0.4952,86.1,14.3,20.15,35.5,8.85,44.35,6.65,MIL,50,8,4,2,2,2,122.55,0.49395000000000006,92.9,13.35,17.6,39.15,10.85,50.0,7.75
43,DAL,L,47,6,3,5,5,3,113.65,0.47505,87.0,14.2,16.85,31.35,10.15,41.5,6.75,LAC,49,4,2,3,3,2,110.0,0.47655000000000003,84.3,13.7,16.4,34.7,9.2,43.9,6.35
44,LAL,L,49,7,2,5,5,2,105.0,0.44775,85.8,10.4,17.7,33.4,10.3,43.7,8.0,PHX,54,6,3,5,5,3,113.75,0.48500000000000004,87.1,12.25,16.9,32.0,8.8,40.8,7.35
45,POR,L,45,6,2,3,3,2,122.35,0.47995,91.8,15.65,18.9,35.85,10.2,46.05,5.95,DEN,52,6,3,7,7,3,114.4,0.4699999999999999,89.5,13.0,17.5,33.6,10.05,43.65,7.7
46,UTA,W,58,7,4,6,6,4,116.0,0.4772,86.45,16.65,17.05,37.05,9.8,46.85,6.55,MEM,44,6,2,1,1,1,111.55,0.45454999999999995,91.15,10.65,18.1,35.55,11.65,47.2,7.95
